player_id,seasons,all_star_seasons,all_star_percent,avg_yearly_salary,abs_per_double,abs_per_sb,abs_per_so,abs_per_bb,batting_avg,abs_per_hr
wardga01,6,1,16.67,0.59,25.0,47.0,6.0,13.0,268.0,40.24
weeksri01,10,1,10.0,4.83,20.0,34.0,4.0,8.0,248.0,27.5
weisswa01,13,1,7.69,1.48,26.0,49.0,7.0,7.0,256.0,186.4
wellsve01,13,3,23.08,9.02,18.0,63.0,7.0,14.0,270.0,24.33
werthja01,12,1,8.33,7.93,18.0,38.0,4.0,7.0,272.0,23.54
whitalo01,11,3,27.27,1.8,19.0,75.0,8.0,7.0,272.0,26.34
whitede03,16,3,18.75,2.29,19.0,21.0,5.0,14.0,263.0,35.27
whitefr01,5,1,20.0,0.87,18.0,145.0,7.0,15.0,248.0,45.59
whitero02,15,1,6.67,2.98,18.0,57.0,6.0,15.0,284.0,27.06
whitter01,6,1,16.67,0.7,21.0,185.0,8.0,8.0,252.0,26.7
wietema01,6,3,50.0,3.81,19.0,393.0,5.0,10.0,253.0,25.9
wiggity01,11,1,9.09,2.52,18.0,109.0,5.0,12.0,260.0,26.77
willibe02,16,5,31.25,6.44,18.0,54.0,6.0,7.0,297.0,27.42
willima04,15,5,33.33,5.26,20.0,135.0,5.0,15.0,273.0,18.23
wilsoda01,13,1,7.69,2.29,20.0,181.0,6.0,15.0,261.0,47.28
wilsoja02,12,1,8.33,4.46,20.0,114.0,8.0,18.0,265.0,80.16
wilsopr01,9,1,11.11,6.05,18.0,32.0,4.0,11.0,265.0,21.02
winfida01,10,4,40.0,2.31,20.0,93.0,6.0,9.0,275.0,23.4
winnra01,12,1,8.33,3.92,17.0,29.0,6.0,12.0,285.0,55.29
womacto01,10,1,10.0,3.74,26.0,14.0,8.0,16.0,273.0,136.03
wrighda03,11,7,63.64,9.54,15.0,30.0,5.0,8.0,298.0,25.32
youklke01,9,3,33.33,7.61,15.0,136.0,5.0,7.0,282.0,24.76
youngch04,9,1,11.11,4.92,16.0,31.0,4.0,9.0,235.0,24.44
youngdm01,13,2,15.38,3.68,16.0,190.0,5.0,12.0,292.0,27.85
younger01,14,1,7.14,2.53,18.0,13.0,13.0,9.0,283.0,76.76
youngmi02,12,7,58.33,9.32,18.0,87.0,7.0,14.0,303.0,43.28
zimmery01,9,1,11.11,8.18,16.0,130.0,5.0,10.0,284.0,24.31
zobribe01,9,2,22.22,4.3,16.0,40.0,6.0,7.0,267.0,33.07
